article_id,technique,span_text,start,end
786731884,Causal_Oversimplification,that daring to give suggestions on how our civilization can stop jihadist attacks and another 9/11 is against Facebook’s ‘community standards,2238,2379
786731884,Causal_Oversimplification,"a move that is, clearly, horrifying to Facebook’s masters and therefore also violates their ‘community standards",2462,2574
786731884,Causal_Oversimplification,who are clearly on the side of the Shariah enforcers and oppressors of Muslim women and girls,2822,2915
788900262,Causal_Oversimplification,Democrats want to delay this vote until after the midterms because they believe they have a chance to retake the Senate as well as the House,4877,5017
788900262,Black-and-White_Fallacy,You believe any woman who goes against a Republican and you don't believe any woman who goes against a Democrat,2272,2383
788900262,Causal_Oversimplification,chose to sit on it until the moment it could inflict maximum political damage,6331,6408
757843275,Black-and-White_Fallacy,only solution,640,653
785801366,Causal_Oversimplification,whom the administration obviously considers to be the real threat to American security,2855,2941
785801366,Black-and-White_Fallacy,Islam cannot be Islam without Jihad,7892,7927
7666320169,Causal_Oversimplification,"Since Germany and Europe did not want the Jews, the Nazis came up with the idea of sending the Jews to another country",5743,5861
728758697,Black-and-White_Fallacy,"Would a Republican get a pass on meeting with a racist hate group leader?
Obviously not.
",1512,1601
728758697,Causal_Oversimplification,"Don't expect it to condemn Rep. Davis' comments.
He was just saying what most of them think.
",1697,1790
788056108,Black-and-White_Fallacy,"Either the human element of the Church will act according to the means which seem possible, however extraordinary, or Heaven itself will intervene ",15683,15830
788056108,Causal_Oversimplification,"To the victims of the Church, and to those who love them, it sounds like he is saying, “Who do you think you are?
I don’t have to explain myself to you.
You’re the guilty one.
You brought this on yourself.
If you want to be loved, then know your place.
I’m the victim, here, not you.
If you know what’s good for you, keep your mouth shut",2142,2479
788056108,Causal_Oversimplification,"Fisher knows that Francis knows it, even if she still cannot bring herself to say explicitly what should now be apparent to the entire body of the faithful",2768,2923
788056108,Causal_Oversimplification,"Bergoglio will not, of course, resign.
He will cling to power with his last breath in order to carry out the many other acts of ecclesial subversion he clearly has in mind",6680,6851
694811415,Black-and-White_Fallacy,Paddock could not have carried out the massacre,274,321
793467906,Black-and-White_Fallacy,"Appointing her to the UN would give Trump, Jeb Bush's policies.
",4729,4793
999000312,Causal_Oversimplification,"Assange never met Manafort.
The DNC emails were downloaded by an insider.
Assange never even considered fleeing to Russia.
Those are the facts, and I am in a position to give you a personal assurance of them",3146,3353
999000312,Causal_Oversimplification,"I can also assure you that Luke Harding, the Guardian, Washington Post and New York Times have been publishing a stream of deliberate lies, in collusion with the security services",3355,3534
999000312,Causal_Oversimplification,"Plainly the government of Ecuador is releasing lies about Assange to curry favour with the security establishment of the USA and UK, and to damage Assange’s support prior to expelling him from the Embassy.
He will then be extradited from London to the USA on charges of espionage",3902,4181
713130996,Causal_Oversimplification,That explains the effort of “The Great Left Hope” to have his client’s felony gun possession conviction tossed.,5222,5333
761968851,Causal_Oversimplification,It is commonly said that wage stagnation contributed to an economic anxiety in middle America that carried Donald Trump into the White House…,3843,3984
761968851,Causal_Oversimplification,and which I argued meant that an unreported illegal alien surge was underway,993,1069
999000135,Causal_Oversimplification,"Don Lemon thinks things like this, are just fine, and wants these people in the US.
He just doesn't want white men here",2629,2748
795693029,Black-and-White_Fallacy,if unable to do so I will call up the U.S. Military and CLOSE OUR SOUTHERN BORDER!”,399,482
999000158,Black-and-White_Fallacy,"If you like down with dogs, you're going to get fleas",3542,3595
999000158,Black-and-White_Fallacy,You’re a failure if you can’t keep a man,2810,2850
999000158,Black-and-White_Fallacy,You're a failure if you can't keep a man,3089,3129
7383612089,Causal_Oversimplification,"If you enjoyed Hillary Clinton’s tenure as Secretary of State, you’ll like Pompeo’s",823,906
786527921,Causal_Oversimplification,But of course they were both,6880,6908
786250729,Causal_Oversimplification,a couple hundred thousand dollars of ad spends and some Russian bots on Facebook swayed the election to Donald Trump,121,237
789370909,Causal_Oversimplification,"simply because Ms. Ford is a woman who has made what they call, without any corroborating evidence to date, a “credible” charge",9306,9433
735815173,Black-and-White_Fallacy,"And if they can't whitewash this, they'll ignore it.
",3489,3542
735815173,Black-and-White_Fallacy,the ADL is wrong and he loves Farrakhan,2015,2054
735815173,Causal_Oversimplification,"The people who talk about the ""Jewish question"" are generally anti-Semites",3109,3183
770877978,Black-and-White_Fallacy,"If anyone is going to help them, he'd be the one.",3244,3293
7709388279,Causal_Oversimplification,because it would have been damaging to Obama,365,409
7709388279,Black-and-White_Fallacy,"While Obama pardoned drug dealers and locked up ranchers, Trump pardons ranchers and locks up drug dealers",1720,1826
737255982,Black-and-White_Fallacy,"supporter of Israel means Farrakhan supporter.
",2412,2459
769962328,Black-and-White_Fallacy,"it seems like when you do the wrong thing before God and man, somehow people seem to give it a pass.
Yet, when you begin to do the right things and obey God and love man according to the Word of God, all of a sudden, the world acts like you're doing something wrong",334,599
769962328,Causal_Oversimplification,They are being exposed for who they are and they do not like it,3160,3223
769962328,Causal_Oversimplification,because they have simply forsaken the cross,3663,3706
769962328,Causal_Oversimplification,The reason they don't is because they are guilty of what they fail to confront,3985,4063
769962328,Causal_Oversimplification,These groups of people are simply enemies of the cross of Christ and know not the power of God unto salvation ,5150,5260
769962328,Causal_Oversimplification,"If Christians were equally as faithful to the Lord, separated from the world (2 Corinthians 6:17), and living so that their lives were a reproof to all ungodliness, the world would hate them as much as it ever did",5608,5821
787668628,Black-and-White_Fallacy,"Democrats Want Us To Believe All Women…Unless They’re Accusing Keith Ellison, Bill Clinton, Al Franken Or George Soros",0,118
787668628,Causal_Oversimplification,This is clearly a set-up ,475,500
705409419,Causal_Oversimplification,"The only answer that comes to mind is that Jesus wants to manifest just how weak is the faith of many within the Church, even among too many of her bishops.",4226,4382
711622457,Causal_Oversimplification,British authorities want to ignore that and shoot the messenger.,934,998
711622457,Black-and-White_Fallacy," “If there’s homosexual men, the punishment is one of five things.
One – the easiest one maybe – chop their head off, that’s the easiest.
Second – burn them to death.
Third – throw ’em off a cliff.
Fourth – tear down a wall on them so they die under that.
Fifth – a combination of the above.”
",2407,2700
771655795,Causal_Oversimplification,"The latter think that removing guns will suddenly force humanity to stop all animosity toward one another, hold hands, and sing Kumbaya",123,258
771655795,Causal_Oversimplification,The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation,260,382
761969038,Causal_Oversimplification,"Simply put, the 21st century has not been good for non-Hispanic job seekers",1971,2046
7804147009,Causal_Oversimplification,It is an act of love to hate sin and to call others to turn away from sin,1192,1265
7804147009,Black-and-White_Fallacy,"we respectfully demand that the rest of the American bishops either follow suit or face the charge of being complicit with the degenerate and even criminal shepherds, accounts of whose betrayal and vice now dominate the news",2060,2284
7804147009,Causal_Oversimplification,we have excused sin in the name of a mistaken notion of mercy,5145,5206
7804147009,Causal_Oversimplification,It is an act of love to hate sin and to call others to turn away from sin,6832,6905
7804147009,Causal_Oversimplification,but also are in violation of the natural moral law for all,7580,7638
7804147009,Causal_Oversimplification,"it also offers the guilty party an opportunity to make expiation for his sin in this life (if he willingly accepts his punishment), thus sparing him worse punishment in the life to come",10488,10673
7804147009,Causal_Oversimplification,"These actions, committed by more than a few, can only be classified as evil, evil that cries out for justice and sin that must be cast out from our Church",4363,4517
758756657,Causal_Oversimplification,"In order to convert to Islam, one says the shahada.
Saying the shahada makes you a Muslim.
The shahada is what is on the black flag of jihad",606,746
790677230,Causal_Oversimplification,"What you want to do is destroy this guy's life, hold this seat open and hope you win in 2020",9351,9443
727869189,Causal_Oversimplification,"For Faggioli, the implication is that at least 50 percent of German Catholic children never see their parents receive communion and lose their faith because of it",2172,2334
738060046,Causal_Oversimplification,"They were bowing to jihadist intimidation.
",935,978
